title,author,rating,reviews_count,isbn10,price,company
Tell Me your Dreams,by Sidney Sheldon,4.4,160,8172234902,209,Amazon
The Boy in the Striped Pyjamas (Definitions),by John Boyne,4.6,134,1862305277,350,Amazon
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",by Anil Lamba,4.5,156,9350294311,477,Amazon
Mossad,by Michael Bar-Zohar - Import,4.6,637,8184958455,340,Amazon
My Story,by Kamala Das,4.5,42,8172238975,178,Amazon
Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148,8170286840,120,Amazon
12 Years a Slave,by Solomon Northup,4.5,41,8175994479,99,Amazon
Headley And I,by S. Hussain Zaidi,3.5,14,9350295725,247,Amazon
Making India Awesome: New Essays and Columns,by Chetan Bhagat,3.8,1188,8129137429,100,Amazon
The Dirty Dozen: Hitmen of the Mumbai Underworld,by Gabriel Khan,4.2,54,9386850133,221,Amazon
Commando,by Michael Bar-Zohar,3.7,15,9386867168,333,Amazon
"Behold, I Shine: Narratives of Kashmir's Women and Children",by Freny Manecksha - Import,4.3,15,8129145715,106,Amazon
Corporate Guru Narayan Murthy,by N Chokkan,4.1,4,8173157685,150,Amazon
Byculla to Bangkok,by S. Hussain Zaidi,4.1,96,9351362256,192,Amazon
"Who Cheats and How?: Scams, Frauds and the Dark Side of the Corporate World:...",by Robin Banerjee,3.5,17,9351500616,360,Amazon
Little Black Book for Stunning Success + Tools for Action Mastery,by Robin Sharma,4.4,67,8184959893,220,Amazon
The Book Thief (Definitions Young Adult),by Markus Zusak,4.5,87,1909531618,379,Amazon
Refreshing Mandala - Colouring Book for Adults Book 3,by Dreamland Publications,4.4,36,9350899175,175,Amazon
Rejuvenate Yourself - Floral Patterns,by Dreamland Publications,4.3,59,9350899477,140,Amazon
This Is Not Your Story,by Savi Sharma,4.5,2177,9386224399,100,Amazon
This Is Not Your Story,by Savi Sharma,4.5,2177,9386224399,100,Amazon
IQ Tests Book-1 - Boost Your Intelligence,by Arihant Experts,3.8,19,9350945746,86,Amazon
The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306,1451696191,186,Amazon
Great Stories for Children,by Ruskin Bond,4.4,217,8129118920,182,Amazon
Creative Doodle Colouring - Animals & Birds,by Dreamland Publications,4.7,11,9350897954,140,Amazon
"Coloring Mandalas 2: For Balance, Harmony, and Spiritual Well-Being (An Adult...",by Susanne F. Fincher,3.9,2,1590300866,610,Amazon
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817,9386224585,226,Amazon
How to Be an Adult in Relationships: The Five Keys to Mindful Loving,by David Richo,5,1,1570628122,689,Amazon
Eleven Minutes,by Paulo Coelho,4.2,234,8172235631,167,Amazon
The Animal Book: A Visual Encyclopedia of Life on Earth (Reference),by DK,4.8,19,1409323498,781,Amazon
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75,Amazon
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651,9385152149,240,Amazon
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817,9386224585,226,Amazon
The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793,9386224445,162,Amazon
Murder in a Minute,by Shouvik Bhattacharya,4.4,277,9386643723,188,Amazon
Alice’s Adventures in Wonderland,by Lewis Carroll,4,119,8175992980,89,Amazon
Harappa - Curse of the Blood River,by Vineet Bajpai,4.1,680,9352685482,185,Amazon
Harry Potter and the Philosopher's Stone,by J.K. Rowling,4.7,1097,1408855658,299,Amazon
Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,4.6,329,9385887815,274,Amazon
Great Stories for Children,by Ruskin Bond,4.4,217,8129118920,182,Amazon
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,by Geronimo Stilton,4.6,285,9352751183,510,Amazon
The Crab with Golden Claws (Tintin),by Herge,4.7,29,1405206209,279,Amazon
Suppandi - 3: The Laughter Never Ends,by Rajani Thindiath,4.7,59,9350853736,76,Amazon
The adventures of Tintin: King Ottokar's Sceptre,by Herge,4.6,32,1405206195,379,Amazon
Circe: The Sunday Times Bestseller,by Madeline Miller,4.3,47,1526603330,364,Amazon
Bloodline,by Sidney Sheldon,4.3,67,8172234864,280,Amazon
Geronimo Stilton #58: The Super Chef Contest,by Geronimo Stilton,4.2,66,9351033287,186,Amazon
The Jungle Book (First Stories),by Miriam Bos,4.4,71,1509808361,224,Amazon
Peppa Pig: Amazing Adventures Sticker Book,by NA,4.8,11,1409312135,194,Amazon
Swami and Friends,by R. K. Narayan,4.6,204,8185986002,114,Amazon
The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681,9381626340,244,Amazon
The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608,9382618341,282,Amazon
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52,1408711702,434,Amazon
The Adventures of Tintin Volume 1,by Herge,3.7,9,1405282754,784,Amazon
Harry Potter and the Chamber of Secrets (Harry Potter 2),by J.K. Rowling,4.7,562,1408855666,374,Amazon
Keepers of the Kalachakra: Book 5 in the Bharat Series of Historical and Mythological...,by Ashwin Sanghi,4,472,9386850648,100,Amazon
Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474,1408855674,374,Amazon
Geronimo Stilton - The Hunt for the Golden Book,by Geronimo Stilton - Large Print,4.4,179,9351032167,319,Amazon
Norse Mythology,by Neil Gaiman,4.4,108,1526602067,299,Amazon
The Secret of the Druids (Mahabharata Quest Series Book 2),by Christopher C. Doyle,4.1,273,9385724223,179,Amazon
Indian Art and Culture,by Nitin Singhania,4.5,391,9387067548,412,Amazon
Bharatiya Kala Evam Sanskriti,by Nitin Singhania,4.6,128,9387067718,370,Amazon
The Art of War,by Sun Tzu,4.3,76,8184950888,175,Amazon
ICSE Art of Effective English Writing for Classes IX - X,by O P Singh,4.6,20,9352534751,316,Amazon
Trump: The Art of the Deal,by Donald Trump,4,51,1784758248,320,Amazon
All you need is Love: The art of mindful parenting,by Shelja Sen,4.3,36,9351770729,225,Amazon
The Bachelor of Arts,by R. K. Narayan,4.4,31,8185986010,90,Amazon
"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,444,9352641345,178,Amazon
The Art of Living,by Thich Nhat Hanh,4.5,2,1846045096,434,Amazon
Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,4.9,330,9386850575,293,Amazon
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52,1408711702,434,Amazon
The Art Of Study,by Vijay Agarwal,4.3,17,8190702564,175,Amazon
The Orient Blackswan School Atlas with CD,by OBS,4.1,479,8125056866,236,Amazon
World Map,by Dreamland Publications,4.5,856,8184511213,91,Amazon
"World Atlas: Government Approved Maps of India and the World, for Exams and Competitions...",by VS Editorial Board,3.5,2,9357941495,94,Amazon
Longman School Atlas,by Longman,4.1,8,9332510210,286,Amazon
India Map,by Dreamland Publications,4.6,594,8184511523,91,Amazon
Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs,by Disha Experts,4.7,7,9387421007,203,Amazon
Our Earth (Family Reference),by NA,2,1,1472311310,325,Amazon
The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306,1451696191,186,Amazon
"The Husband's Secret: From the bestselling author of Big Little Lies, now an...",by Liane Moriarty,3.6,31,1405911662,221,Amazon
The Sealed Nectar: Biography of the Noble Prophet,by Safi-ur-Rahman al-Mubarkpuri,4.7,38,9960899551,485,Amazon
Numbercaste,by Yudhanjaya Wijeratne,4.5,2,9353023335,218,Amazon
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65,Amazon
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.3 out of 5 stars,143,9387944891,199,Amazon
Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64,Amazon
General Knowledge 2019,Manohar Pandey,4.2 out of 5 stars,515,9312147307,19,Amazon
General Knowledge,Not Available,4.4 out of 5 stars,"2,035",9384761540,156,Amazon
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"5,643",8183071007,76,Amazon
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.1 out of 5 stars,"3,310",9352534026,427,Amazon
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"3,820",8172234988,182,Amazon
Manorama Yearbook 2019 ( English),Not Available,4.5 out of 5 stars,37,8193769716,228,Amazon
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270,Amazon
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79,Amazon
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105,Amazon
Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,9384761141,150,Amazon
Wings of Fire: An Autobiography of Abdul Kalam,Not Available,4.6 out of 5 stars,"2,131",8173711461,194,Amazon
The Forest of Enchantments,Chitra Banerjee Divakaruni,4.6 out of 5 stars,8,9353025982,373,Amazon
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.5 out of 5 stars,"1,003",8184001053,118,Amazon
Life is What You Make It,Preeti Shenoy,4.0 out of 5 stars,"2,859",9380349300,75,Amazon
The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111,Amazon
Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Oswaal Editorial Board,4.3 out of 5 stars,30,9388036662,127,Amazon
Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Oswaal Editorial Board,4.4 out of 5 stars,42,9388036689,127,Amazon
Indian Art and Culture,by Nitin Singhania,4.5,391,9387067548,412,Amazon
CBSE Chemistry Chapterwise Solved Papers Class 12th,Not Available,4.2 out of 5 stars,97,9313161419,152,Amazon
CBSE Chapterwise Physics Class 12th,Not Available,4.2 out of 5 stars,87,9313161427,172,Amazon
1984,George Orwell,4.4 out of 5 stars,738,8192910903,88,Amazon
Who Will Cry When You Die?,Robin Sharma,4.4 out of 5 stars,"2,795",8179922324,103,Amazon
The Great Gatsby,F. Scott Fitzgerald,4.1 out of 5 stars,338,8172344562,47,Amazon
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),Oswaal Editorial Board,4.6 out of 5 stars,24,9388036670,126,Amazon
Objective NCERT at your Fingertips - Biology,Not Available,4.7 out of 5 stars,268,9387949222,408,Amazon
NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson,KVS Madaan,4.4 out of 5 stars,505,9332551731,216,Amazon
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,DC. Pandey,4.1 out of 5 stars,90,9313163292,191,Amazon
High School English Grammar and Composition Book (Regular Edition),Not Available,4.4 out of 5 stars,883,9352530144,259,Amazon
Fast Track Objective Arithmetic,Not Available,4.3 out of 5 stars,"2,876",9312149830,223,Amazon
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.4 out of 5 stars,639,1847946240,286,Amazon
The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1681,9381626340,244,Amazon
Emotion and Relationships,Sadhguru,4.7 out of 5 stars,124,9386867508,138,Amazon
Rich Dad Poor Dad,Robert T. Kiyosaki,4.5 out of 5 stars,"3,563",8186775218,135,Amazon
Sita: Warrior of Mithila (Ram Chandra),by Amish Tripathi,4.3,1817,9386224585,226,Amazon
Bharat Ki Rajvayvastha,M. Laxmikanth,4.5 out of 5 stars,673,9352603869,381,Amazon
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Mathematics,Amit M. Agarwal,4.2 out of 5 stars,91,9313163314,200,Amazon
The Secret,Rhonda Byrne,4.5 out of 5 stars,"1,605",1847370292,415,Amazon
The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608,9382618341,282,Amazon
40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,Ranjeet Shahi,4.4 out of 5 stars,91,9313163306,225,Amazon
Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,4.6 out of 5 stars,184,9387504913,247,Amazon
Objective General English,S.P. Bakshi,4.2 out of 5 stars,"1,771",9351768449,154,Amazon
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated...,by Amish Tripathi,4.1,4651,9385152149,240,Amazon
10 Last Years Solved Papers: CBSE Class 10 for 2019 Examination,Not Available,4.0 out of 5 stars,99,9387660400,357,Amazon
