title,author,isbn10,Amazon,Flipkart,Amazon_price,Flipkart_price,cheapest_platform,price_difference
 10 Last Years Solved Papers (HSC) - Science - Maharashtra Board Class 12 for 2019 Examination,  Gurukul Books,9387660451,,695.0,,695.0,Flipkart,
 10 Last Years Solved Papers - CBSE Class 10 for 2019 Examination,  Oswal Publishers,9387660400,,390.0,,390.0,Flipkart,
 10 Years CBSE Champion Chapterwise-Topicwise Social Science -Class- 10,  MTG Editorial Board,9387949818,,166.0,,166.0,Flipkart,
 10 Years Solved Papers: ICSE Class 10 for 2019 Examination,  unknown,8193550714,,599.0,,599.0,Flipkart,
 11 yeaars Solved Papers 2018-2008 MCA Entrances,  Amit M. Agarwal,9313166755,,232.0,,232.0,Flipkart,
 12 years a slave : - A True Story,  Northup Solomon,8175994479,,140.0,,140.0,Flipkart,
 13 Steps to Bloody Good Luck,  Sanghi Ashwin,9384030570,,114.0,,114.0,Flipkart,
 13 Steps to Bloody Good Marks,  Sanghi Ashwin,9386224763,,100.0,,100.0,Flipkart,
 15 Sample Question Papers Economic Class 11 CBSE,  Arihant Experts,9313166208,,109.0,,109.0,Flipkart,
 15 Sample Question Papers Economics Class 12 CBSE,  Arihant Experts,9313166046,,139.0,,139.0,Flipkart,
 15 Sample Question Political Science Class 12 CBSE,  Arihant Experts,9313166127,,122.0,,122.0,Flipkart,
 19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,  Disha Experts,9388026764,,189.0,,189.0,Flipkart,
 21 Anmol Kahaniya,  Chand Munshi Prem,9350336618,,87.0,,87.0,Flipkart,
 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),  unknown,9388026586,,325.0,,325.0,Flipkart,
 3 and a Half Murders - An Inspector Saralkar Mystery,  Salil Desai,8175994258,,188.0,,188.0,Flipkart,
 365 Pancharantra Stories,  OM Books,8187107588,,396.0,,396.0,Flipkart,
